"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ADANIPOWER",50,33,249.6,1650,12480,10830,656.36,2.07,""
"BANDHANBNK",10,296,206.65,2960,2066.5,-893.5,-30.19,3.04,""
"DEVYANI",35,151.46,116.4,5301.25,4074,-1227.25,-23.15,-0.04,""
"DWARKESH",10,129,43.5,1290,435,-855,-66.28,-0.96,""
"FEDERALBNK",12,87.1,289.75,1045.2,3477,2431.8,232.66,-0.16,""
"IDEA",55,13.26,14.24,729.5,783.2,53.7,7.36,0.64,""
"INFY",3,1884,1165.1,5652,3495.3,-2156.7,-38.16,-0.22,""
"SBC",67,2.46,39.04,165,2615.68,2450.68,1485.26,1.11,""
"TATAPOWER",45,233.02,427.3,10486,19228.5,8742.5,83.37,1.48,""
"TMCV",30,134.04,382.45,4021.15,11473.5,7452.35,185.33,-0.71,""
"TMPV",30,296.26,391.75,8887.85,11752.5,2864.65,32.23,1.58,""
"URJA",21,18.05,10.85,379,227.85,-151.15,-39.88,1.97,""
